,initialization,optimizer,optimizer_lr,loss_nn,batch_size,epoch_size,train accuracy,val accuracy,test accuracy,train loss,val loss,test loss
0,glorot_normal,Adam,1e-05,categorical_crossentropy,32,80,0.9746666550636292,0.9368833303451538,0.835444450378418,0.11291495758153143,0.2850410437270999,0.7126600510014428
0,glorot_normal,Adam,1e-05,categorical_crossentropy,64,80,0.9504523873329163,0.9153333306312561,0.8252778053283691,0.19918575616677603,0.3365847484409809,0.6737923821210862
0,glorot_normal,Adam,0.0001,categorical_crossentropy,32,80,0.9857380986213684,0.9456333518028259,0.840666651725769,0.04722093309139988,0.426965261282247,1.354301027658913
0,glorot_normal,Adam,0.0001,categorical_crossentropy,64,80,0.9867143034934998,0.9453833103179932,0.8432222008705139,0.041415846475666124,0.4010971404769768,1.256189597811136
0,glorot_normal,Adam,0.001,categorical_crossentropy,32,80,0.9530952572822571,0.9284666776657104,0.835777759552002,0.16139875200665776,0.38815120428054944,1.0452780197461446
0,glorot_normal,Adam,0.001,categorical_crossentropy,64,80,0.9630237817764282,0.9174500107765198,0.8291110992431641,0.12565037571532386,0.42086080596533915,1.056400074031618
0,glorot_normal,Adam,0.1,categorical_crossentropy,32,80,0.09976190328598022,0.10000000149011612,0.10155555605888367,2.315604166485014,2.3130265950520834,2.313237485249837
0,glorot_normal,Adam,0.1,categorical_crossentropy,64,80,0.10264285653829575,0.10000000149011612,0.10066666454076767,2.3114941894894554,2.307753681564331,2.3072698650360106
0,glorot_normal,Adam,0.5,categorical_crossentropy,32,80,0.1017380952835083,0.10003333538770676,0.09827777743339539,2.3584073773338683,672.0678081443151,2718.3051793259515
0,glorot_normal,Adam,0.5,categorical_crossentropy,64,80,0.0971904769539833,0.10000000149011612,0.10155555605888367,2.341444093431745,2.332082116317749,2.3324537989298504
