,initialization,optimizer,optimizer_lr,loss_nn,batch_size,epoch_size,dropout,train accuracy,val accuracy,test accuracy,train loss,val loss,test loss
0,glorot_normal,Adam,0.0001,categorical_crossentropy,64,80,0.1,0.9092142581939697,0.9419833421707153,0.8758888840675354,0.2884246249085381,0.2074037923062841,0.43864761342273817
0,glorot_normal,Adam,0.0001,categorical_crossentropy,64,80,0.2,0.8775714039802551,0.9264166951179504,0.8756666779518127,0.41361738847550894,0.25438819723526634,0.4222150443593661
0,glorot_normal,Adam,0.0001,categorical_crossentropy,64,80,0.3,0.8456190228462219,0.9060999751091003,0.8700000047683716,0.5400719112895784,0.32020146546761197,0.44067992443508575
0,glorot_normal,Adam,0.0001,categorical_crossentropy,64,80,0.4,0.8029761910438538,0.8908833265304565,0.8617777824401855,0.7125535833267939,0.3872773521741231,0.47616594452328154
0,glorot_normal,Adam,0.0001,categorical_crossentropy,128,80,0.1,0.921500027179718,0.9377666711807251,0.8667222261428833,0.25384712323688324,0.22130679614543916,0.4759340554608239
0,glorot_normal,Adam,0.0001,categorical_crossentropy,128,80,0.2,0.8860714435577393,0.9236999750137329,0.8719444274902344,0.3851375854753313,0.26437298226356504,0.44406733936071396
0,glorot_normal,Adam,0.0001,categorical_crossentropy,128,80,0.3,0.8537380695343018,0.909166693687439,0.8696666955947876,0.5126133894693283,0.31436990229288736,0.44307621710830264
0,glorot_normal,Adam,0.0001,categorical_crossentropy,128,80,0.4,0.8072618842124939,0.8918833136558533,0.8641111254692078,0.6767657009079343,0.3822992379665375,0.47273790792624154
0,glorot_normal,Adam,0.0002,categorical_crossentropy,64,80,0.1,0.9179762005805969,0.9439499974250793,0.8728888630867004,0.25522898195471083,0.203369159677128,0.4585274050599999
0,glorot_normal,Adam,0.0002,categorical_crossentropy,64,80,0.2,0.8834523558616638,0.9338499903678894,0.8805000185966492,0.3870421819913955,0.23479254127343496,0.4159557635982831
0,glorot_normal,Adam,0.0002,categorical_crossentropy,64,80,0.3,0.8564285635948181,0.9196333289146423,0.8772777915000916,0.5017575945854187,0.2827535500804583,0.4170165290633837
0,glorot_normal,Adam,0.0002,categorical_crossentropy,64,80,0.4,0.819690465927124,0.8957666754722595,0.8629444241523743,0.6437555178687686,0.36005795517365136,0.4612875702646044
0,glorot_normal,Adam,0.0002,categorical_crossentropy,128,80,0.1,0.9265000224113464,0.947616696357727,0.8756111264228821,0.23189873855454582,0.19669757825136186,0.46777086876829466
0,glorot_normal,Adam,0.0002,categorical_crossentropy,128,80,0.2,0.8942142724990845,0.9290000200271606,0.8715000152587891,0.34951990997223625,0.24914020023345948,0.4508474900722504
0,glorot_normal,Adam,0.0002,categorical_crossentropy,128,80,0.3,0.8684762120246887,0.9176166653633118,0.8735555410385132,0.4672871342159453,0.28535716491937635,0.43268066010872525
0,glorot_normal,Adam,0.0002,categorical_crossentropy,128,80,0.4,0.8292381167411804,0.8928166627883911,0.8587222099304199,0.6199053784325009,0.3729659100929896,0.4821266357103984
